locus_family	E. cloacae	K. pneumoniae	S. marcescens	C. rodentium	E. coli	S. enterica	num_genomes
6319	NA	NA	NA	NA	NA	STM14_RS07805	1
6320	NA	KPNIH1_RS03110	NA	NA	NA	NA	1
6323	ECL_RS22120	NA	NA	NA	NA	NA	1
6324	NA	KPNIH1_RS08935	NA	NA	NA	NA	1
6325	NA	KPNIH1_RS20725	NA	NA	NA	NA	1
6327	ECL_RS19930	NA	NA	NA	NA	NA	1
6328	NA	NA	SMDB11_RS20900	NA	NA	NA	1
6329	NA	NA	NA	NA	b0324	NA	1
6330	ECL_RS19950	NA	NA	NA	NA	NA	1
6332	NA	KPNIH1_RS12750	NA	NA	NA	NA	1
6334	NA	KPNIH1_RS12780	NA	NA	NA	NA	1
6337	NA	NA	NA	NA	b2543	NA	1
6338	NA	NA	NA	ROD_RS17260	NA	NA	1
6339	ECL_RS01840	NA	NA	NA	NA	NA	1
6340	NA	NA	SMDB11_RS19450	NA	NA	NA	1
6341	ECL_RS21525	NA	NA	NA	NA	NA	1
6342	NA	NA	NA	NA	b1022	NA	1
6343	NA	KPNIH1_RS01965	NA	NA	NA	NA	1
6345	NA	NA	SMDB11_RS23410	NA	NA	NA	1
6346	NA	NA	NA	NA	NA	STM14_RS16675	1
6347	NA	KPNIH1_RS07025	NA	NA	NA	NA	1
6349	NA	KPNIH1_RS05300	NA	NA	NA	NA	1
6350	NA	NA	NA	ROD_RS18865	NA	NA	1
6351	NA	NA	NA	ROD_RS13775	NA	NA	1
6352	NA	NA	NA	ROD_RS03520	NA	NA	1
6353	NA	NA	SMDB11_RS05640	NA	NA	NA	1
6355	NA	KPNIH1_RS21425	NA	NA	NA	NA	1
6360	NA	NA	SMDB11_RS02950	NA	NA	NA	1
6362	ECL_RS24300	NA	NA	NA	NA	NA	1
6363	ECL_RS25850	NA	NA	NA	NA	NA	1
6364	NA	KPNIH1_RS27935	NA	NA	NA	NA	1
6365	ECL_RS25845	NA	NA	NA	NA	NA	1
6366	ECL_RS24295	NA	NA	NA	NA	NA	1
6367	NA	KPNIH1_RS27930	NA	NA	NA	NA	1
6368	NA	NA	SMDB11_RS08595	NA	NA	NA	1
6369	NA	KPNIH1_RS12400	NA	NA	NA	NA	1
6370	NA	NA	NA	NA	NA	STM14_RS09865	1
6373	NA	NA	SMDB11_RS08950	NA	NA	NA	1
6374	NA	NA	NA	ROD_RS05345	NA	NA	1
6375	NA	NA	NA	NA	b1983	NA	1
6376	NA	NA	NA	NA	NA	STM14_RS23575	1
6381	NA	KPNIH1_RS27615	NA	NA	NA	NA	1
6382	ECL_RS18975	NA	NA	NA	NA	NA	1
6383	NA	KPNIH1_RS11380	NA	NA	NA	NA	1
6385	ECL_RS26095	NA	NA	NA	NA	NA	1
6386	NA	NA	NA	NA	NA	STM14_RS00305	1
6387	NA	KPNIH1_RS29015	NA	NA	NA	NA	1
6388	ECL_RS25865	NA	NA	NA	NA	NA	1
6389	ECL_RS24315	NA	NA	NA	NA	NA	1
6390	NA	KPNIH1_RS27950	NA	NA	NA	NA	1
6392	NA	KPNIH1_RS22065	NA	NA	NA	NA	1
6393	NA	KPNIH1_RS05315	NA	NA	NA	NA	1
6396	NA	KPNIH1_RS12760	NA	NA	NA	NA	1
6397	NA	NA	SMDB11_RS23380	NA	NA	NA	1
6398	NA	KPNIH1_RS07065	NA	NA	NA	NA	1
6399	NA	NA	NA	NA	NA	STM14_RS16705	1
6400	NA	NA	SMDB11_RS13025	NA	NA	NA	1
6402	ECL_RS08985	NA	NA	NA	NA	NA	1
6403	NA	KPNIH1_RS11600	NA	NA	NA	NA	1
6404	NA	NA	SMDB11_RS08605	NA	NA	NA	1
6405	NA	KPNIH1_RS16650	NA	NA	NA	NA	1
6407	NA	NA	NA	ROD_RS17205	NA	NA	1
6408	NA	KPNIH1_RS22390	NA	NA	NA	NA	1
6409	ECL_RS01795	NA	NA	NA	NA	NA	1
6410	NA	NA	SMDB11_RS20920	NA	NA	NA	1
6411	NA	NA	NA	NA	b0341	NA	1
6412	NA	KPNIH1_RS19175	NA	NA	NA	NA	1
6413	ECL_RS10095	NA	NA	NA	NA	NA	1
6419	NA	KPNIH1_RS13880	NA	NA	NA	NA	1
6420	NA	NA	SMDB11_RS19770	NA	NA	NA	1
6421	NA	NA	NA	NA	NA	STM14_RS02395	1
6425	NA	NA	NA	NA	NA	STM14_RS23685	1
6427	ECL_RS12950	NA	NA	NA	NA	NA	1
6428	NA	KPNIH1_RS25745	NA	NA	NA	NA	1
6429	NA	NA	SMDB11_RS08795	NA	NA	NA	1
6430	NA	KPNIH1_RS16505	NA	NA	NA	NA	1
6432	NA	KPNIH1_RS16510	NA	NA	NA	NA	1
6435	NA	NA	NA	NA	b1200	NA	1
6438	NA	KPNIH1_RS20575	NA	NA	NA	NA	1
6439	NA	KPNIH1_RS09085	NA	NA	NA	NA	1
6440	ECL_RS21985	NA	NA	NA	NA	NA	1
6444	NA	KPNIH1_RS21965	NA	NA	NA	NA	1
6445	NA	KPNIH1_RS22015	NA	NA	NA	NA	1
6448	NA	KPNIH1_RS22050	NA	NA	NA	NA	1
6450	NA	NA	NA	NA	b2093	NA	1
6451	NA	NA	NA	NA	b3909	NA	1
6453	NA	NA	NA	NA	NA	STM14_RS03865	1
6458	NA	KPNIH1_RS22025	NA	NA	NA	NA	1
6459	NA	NA	SMDB11_RS02935	NA	NA	NA	1
6461	NA	KPNIH1_RS05390	NA	NA	NA	NA	1
6462	ECL_RS01750	NA	NA	NA	NA	NA	1
6463	NA	NA	SMDB11_RS03385	NA	NA	NA	1
6464	NA	KPNIH1_RS05705	NA	NA	NA	NA	1
6465	NA	NA	SMDB11_RS03520	NA	NA	NA	1
6466	ECL_RS03420	NA	NA	NA	NA	NA	1
6468	NA	NA	NA	ROD_RS23770	NA	NA	1
6469	NA	NA	SMDB11_RS12440	NA	NA	NA	1
6472	NA	NA	NA	NA	b1153	NA	1
6473	NA	NA	SMDB11_RS12795	NA	NA	NA	1
6474	NA	NA	NA	NA	NA	STM14_RS10920	1
6475	ECL_RS10305	NA	NA	NA	NA	NA	1
6476	NA	KPNIH1_RS15990	NA	NA	NA	NA	1
6477	NA	NA	SMDB11_RS16585	NA	NA	NA	1
6481	NA	KPNIH1_RS08985	NA	NA	NA	NA	1
6482	ECL_RS22065	NA	NA	NA	NA	NA	1
6483	NA	KPNIH1_RS20665	NA	NA	NA	NA	1
6484	NA	KPNIH1_RS09045	NA	NA	NA	NA	1
6485	ECL_RS22015	NA	NA	NA	NA	NA	1
6486	NA	KPNIH1_RS20610	NA	NA	NA	NA	1
6487	NA	KPNIH1_RS20550	NA	NA	NA	NA	1
6488	NA	KPNIH1_RS09115	NA	NA	NA	NA	1
6489	ECL_RS21955	NA	NA	NA	NA	NA	1
6490	NA	KPNIH1_RS14005	NA	NA	NA	NA	1
6491	ECL_RS10315	NA	NA	NA	NA	NA	1
6492	ECL_RS10320	NA	NA	NA	NA	NA	1
6493	NA	KPNIH1_RS14000	NA	NA	NA	NA	1
6497	NA	NA	NA	NA	b0975	NA	1
6498	NA	NA	NA	NA	NA	STM14_RS09835	1
6499	NA	NA	NA	NA	NA	STM14_RS08535	1
6501	NA	NA	NA	NA	NA	STM14_RS08545	1
6502	NA	NA	NA	NA	NA	STM14_RS09825	1
6503	NA	NA	NA	NA	b0973	NA	1
6505	NA	NA	NA	NA	NA	STM14_RS08550	1
6506	NA	NA	NA	NA	NA	STM14_RS09820	1
6507	NA	NA	NA	NA	b0972	NA	1
6510	NA	NA	NA	NA	NA	STM14_RS22505	1
6512	NA	KPNIH1_RS27910	NA	NA	NA	NA	1
6513	NA	NA	NA	NA	NA	STM14_RS15815	1
6514	ECL_RS25815	NA	NA	NA	NA	NA	1
6516	NA	NA	SMDB11_RS14265	NA	NA	NA	1
6517	NA	NA	NA	ROD_RS01905	NA	NA	1
6518	NA	NA	NA	ROD_RS24865	NA	NA	1
6520	NA	NA	NA	NA	b0336	NA	1
6524	NA	KPNIH1_RS04205	NA	NA	NA	NA	1
6526	NA	KPNIH1_RS11285	NA	NA	NA	NA	1
6527	NA	KPNIH1_RS20680	NA	NA	NA	NA	1
6528	ECL_RS22080	NA	NA	NA	NA	NA	1
6529	NA	KPNIH1_RS08970	NA	NA	NA	NA	1
6530	ECL_RS22075	NA	NA	NA	NA	NA	1
6531	NA	KPNIH1_RS08975	NA	NA	NA	NA	1
6532	NA	KPNIH1_RS20675	NA	NA	NA	NA	1
6533	NA	KPNIH1_RS20670	NA	NA	NA	NA	1
6534	ECL_RS22070	NA	NA	NA	NA	NA	1
6535	NA	KPNIH1_RS08980	NA	NA	NA	NA	1
6536	ECL_RS21975	NA	NA	NA	NA	NA	1
6537	NA	KPNIH1_RS09095	NA	NA	NA	NA	1
6538	NA	KPNIH1_RS20565	NA	NA	NA	NA	1
6539	NA	KPNIH1_RS20555	NA	NA	NA	NA	1
6540	NA	KPNIH1_RS09110	NA	NA	NA	NA	1
6541	ECL_RS21960	NA	NA	NA	NA	NA	1
6542	NA	NA	NA	NA	b2094	NA	1
6544	NA	NA	NA	NA	NA	STM14_RS00530	1
6545	NA	KPNIH1_RS29330	NA	NA	NA	NA	1
6546	NA	KPNIH1_RS28635	NA	NA	NA	NA	1
6547	ECL_RS02275	NA	NA	NA	NA	NA	1
6548	NA	KPNIH1_RS27835	NA	NA	NA	NA	1
6549	ECL_RS26170	NA	NA	NA	NA	NA	1
6551	NA	NA	NA	ROD_RS24930	NA	NA	1
6553	NA	NA	NA	ROD_RS24935	NA	NA	1
6555	NA	NA	NA	NA	NA	STM14_RS06970	1
6556	NA	NA	NA	NA	NA	STM14_RS05715	1
6557	NA	NA	NA	NA	NA	STM14_RS14185	1
6559	NA	NA	NA	ROD_RS14375	NA	NA	1
6560	ECL_RS20350	NA	NA	NA	NA	NA	1
6561	NA	NA	NA	NA	NA	STM14_RS19860	1
6562	NA	NA	NA	ROD_RS25075	NA	NA	1
6564	NA	NA	NA	ROD_RS24945	NA	NA	1
6566	NA	NA	SMDB11_RS16045	NA	NA	NA	1
6568	NA	KPNIH1_RS16685	NA	NA	NA	NA	1
6571	ECL_RS22045	NA	NA	NA	NA	NA	1
6572	NA	KPNIH1_RS20645	NA	NA	NA	NA	1
6573	NA	KPNIH1_RS09005	NA	NA	NA	NA	1
6575	NA	NA	SMDB11_RS03630	NA	NA	NA	1
6578	ECL_RS10460	NA	NA	NA	NA	NA	1
6579	NA	KPNIH1_RS20795	NA	NA	NA	NA	1
6580	NA	NA	SMDB11_RS05935	NA	NA	NA	1
6581	NA	NA	NA	NA	NA	STM14_RS02775	1
6582	NA	KPNIH1_RS26860	NA	NA	NA	NA	1
6583	NA	NA	SMDB11_RS06910	NA	NA	NA	1
6585	NA	NA	NA	NA	b4292	NA	1
6586	NA	KPNIH1_RS27465	NA	NA	NA	NA	1
6587	NA	NA	SMDB11_RS07755	NA	NA	NA	1
6588	NA	NA	SMDB11_RS08345	NA	NA	NA	1
6589	NA	KPNIH1_RS14165	NA	NA	NA	NA	1
6590	ECL_RS16935	NA	NA	NA	NA	NA	1
6593	NA	NA	NA	NA	NA	STM14_RS02000	1
6594	NA	NA	SMDB11_RS11155	NA	NA	NA	1
6595	ECL_RS07525	NA	NA	NA	NA	NA	1
6596	NA	NA	NA	NA	NA	STM14_RS19885	1
6597	NA	KPNIH1_RS14265	NA	NA	NA	NA	1
6598	NA	NA	SMDB11_RS11470	NA	NA	NA	1
6600	NA	NA	SMDB11_RS11520	NA	NA	NA	1
6601	NA	KPNIH1_RS23395	NA	NA	NA	NA	1
6603	NA	KPNIH1_RS11560	NA	NA	NA	NA	1
6605	NA	NA	NA	NA	b1149	NA	1
6606	NA	NA	SMDB11_RS12880	NA	NA	NA	1
6607	NA	NA	NA	NA	NA	STM14_RS11020	1
6608	NA	NA	SMDB11_RS13595	NA	NA	NA	1
6609	NA	NA	NA	NA	NA	STM14_RS06055	1
6610	NA	KPNIH1_RS22640	NA	NA	NA	NA	1
6614	NA	NA	NA	NA	b1199	NA	1
6616	NA	NA	SMDB11_RS15370	NA	NA	NA	1
6621	NA	NA	SMDB11_RS18105	NA	NA	NA	1
6626	NA	NA	SMDB11_RS23405	NA	NA	NA	1
6627	NA	KPNIH1_RS07035	NA	NA	NA	NA	1
6628	NA	NA	NA	NA	NA	STM14_RS16685	1
6630	NA	KPNIH1_RS03040	NA	NA	NA	NA	1
6631	ECL_RS03255	NA	NA	NA	NA	NA	1
6632	NA	NA	NA	NA	b0271	NA	1
6634	NA	KPNIH1_RS03265	NA	NA	NA	NA	1
6635	NA	NA	NA	ROD_RS06755	NA	NA	1
6637	NA	KPNIH1_RS28155	NA	NA	NA	NA	1
6638	NA	KPNIH1_RS06515	NA	NA	NA	NA	1
6639	NA	KPNIH1_RS19905	NA	NA	NA	NA	1
6640	NA	KPNIH1_RS20740	NA	NA	NA	NA	1
6641	ECL_RS22140	NA	NA	NA	NA	NA	1
6642	NA	KPNIH1_RS08915	NA	NA	NA	NA	1
6643	ECL_RS22105	NA	NA	NA	NA	NA	1
6644	NA	KPNIH1_RS08950	NA	NA	NA	NA	1
6645	NA	KPNIH1_RS20710	NA	NA	NA	NA	1
6646	NA	KPNIH1_RS08990	NA	NA	NA	NA	1
6647	NA	KPNIH1_RS20660	NA	NA	NA	NA	1
6648	ECL_RS22060	NA	NA	NA	NA	NA	1
6649	NA	KPNIH1_RS08995	NA	NA	NA	NA	1
6650	NA	KPNIH1_RS20655	NA	NA	NA	NA	1
6651	ECL_RS22055	NA	NA	NA	NA	NA	1
6652	NA	KPNIH1_RS09030	NA	NA	NA	NA	1
6653	NA	KPNIH1_RS20625	NA	NA	NA	NA	1
6654	ECL_RS22025	NA	NA	NA	NA	NA	1
6655	NA	KPNIH1_RS20620	NA	NA	NA	NA	1
6656	ECL_RS22020	NA	NA	NA	NA	NA	1
6657	NA	KPNIH1_RS09035	NA	NA	NA	NA	1
6658	NA	KPNIH1_RS09050	NA	NA	NA	NA	1
6659	ECL_RS22010	NA	NA	NA	NA	NA	1
6660	NA	KPNIH1_RS20605	NA	NA	NA	NA	1
6662	NA	KPNIH1_RS17575	NA	NA	NA	NA	1
6663	NA	NA	NA	ROD_RS15500	NA	NA	1
6664	ECL_RS09480	NA	NA	NA	NA	NA	1
6666	NA	KPNIH1_RS21975	NA	NA	NA	NA	1
6667	NA	KPNIH1_RS21980	NA	NA	NA	NA	1
6670	NA	NA	NA	NA	b4320	NA	1
6671	NA	NA	NA	NA	NA	STM14_RS08680	1
6672	NA	NA	NA	NA	b3509	NA	1
6673	NA	KPNIH1_RS23735	NA	NA	NA	NA	1
6675	NA	KPNIH1_RS28710	NA	NA	NA	NA	1
6676	NA	NA	NA	NA	NA	STM14_RS06725	1
6677	NA	NA	NA	ROD_RS25265	NA	NA	1
6678	NA	NA	NA	NA	b3484	NA	1
6679	NA	NA	NA	NA	b0706	NA	1
6680	NA	NA	NA	NA	b1460	NA	1
6681	ECL_RS26045	NA	NA	NA	NA	NA	1
6682	NA	NA	NA	NA	NA	STM14_RS00110	1
6683	NA	KPNIH1_RS28065	NA	NA	NA	NA	1
6684	NA	KPNIH1_RS29105	NA	NA	NA	NA	1
6685	NA	NA	NA	NA	NA	STM14_RS00360	1
6686	NA	KPNIH1_RS28410	NA	NA	NA	NA	1
6687	NA	NA	NA	NA	NA	STM14_RS00405	1
6688	NA	KPNIH1_RS29190	NA	NA	NA	NA	1
6689	NA	KPNIH1_RS28500	NA	NA	NA	NA	1
6690	NA	KPNIH1_RS28505	NA	NA	NA	NA	1
6691	NA	KPNIH1_RS29195	NA	NA	NA	NA	1
6692	NA	NA	NA	NA	NA	STM14_RS00410	1
6693	NA	KPNIH1_RS29200	NA	NA	NA	NA	1
6694	NA	KPNIH1_RS28510	NA	NA	NA	NA	1
6695	NA	NA	NA	NA	NA	STM14_RS00415	1
6696	NA	NA	NA	NA	NA	STM14_RS00430	1
6697	NA	KPNIH1_RS29205	NA	NA	NA	NA	1
6698	NA	KPNIH1_RS30875	NA	NA	NA	NA	1
6699	NA	KPNIH1_RS29240	NA	NA	NA	NA	1
6700	NA	KPNIH1_RS28555	NA	NA	NA	NA	1
6701	NA	NA	NA	NA	NA	STM14_RS00455	1
6702	NA	NA	NA	NA	NA	STM14_RS00460	1
6703	NA	KPNIH1_RS29245	NA	NA	NA	NA	1
6704	NA	KPNIH1_RS28560	NA	NA	NA	NA	1
6705	NA	KPNIH1_RS29260	NA	NA	NA	NA	1
6706	NA	KPNIH1_RS28570	NA	NA	NA	NA	1
6707	NA	NA	NA	NA	NA	STM14_RS00475	1
6708	NA	KPNIH1_RS29265	NA	NA	NA	NA	1
6709	NA	NA	NA	NA	NA	STM14_RS00485	1
6710	NA	KPNIH1_RS28575	NA	NA	NA	NA	1
6711	NA	NA	NA	NA	NA	STM14_RS00495	1
6712	NA	KPNIH1_RS29285	NA	NA	NA	NA	1
6713	NA	KPNIH1_RS28595	NA	NA	NA	NA	1
6714	NA	NA	NA	NA	NA	STM14_RS00505	1
6715	NA	KPNIH1_RS29295	NA	NA	NA	NA	1
6716	NA	KPNIH1_RS28605	NA	NA	NA	NA	1
6717	NA	KPNIH1_RS29310	NA	NA	NA	NA	1
6718	NA	NA	NA	NA	NA	STM14_RS00515	1
6719	NA	KPNIH1_RS28620	NA	NA	NA	NA	1
6720	NA	NA	NA	NA	NA	STM14_RS00545	1
6721	NA	KPNIH1_RS29335	NA	NA	NA	NA	1
6722	NA	KPNIH1_RS28640	NA	NA	NA	NA	1
6723	NA	KPNIH1_RS29340	NA	NA	NA	NA	1
6724	NA	KPNIH1_RS28645	NA	NA	NA	NA	1
6725	NA	NA	NA	NA	NA	STM14_RS00550	1
6726	NA	KPNIH1_RS27875	NA	NA	NA	NA	1
6727	ECL_RS02240	NA	NA	NA	NA	NA	1
6728	ECL_RS26210	NA	NA	NA	NA	NA	1
6730	NA	NA	NA	NA	NA	STM14_RS17830	1
6731	NA	NA	NA	NA	NA	STM14_RS17835	1
6733	NA	NA	NA	NA	NA	STM14_RS06940	1
6734	NA	NA	NA	NA	NA	STM14_RS05675	1
6735	NA	NA	NA	NA	NA	STM14_RS14215	1
6736	NA	NA	NA	NA	NA	STM14_RS05680	1
6737	NA	NA	NA	NA	NA	STM14_RS14210	1
6738	NA	NA	NA	NA	NA	STM14_RS06945	1
6739	NA	NA	NA	NA	NA	STM14_RS14200	1
6740	NA	NA	NA	NA	NA	STM14_RS06955	1
6741	NA	NA	NA	NA	NA	STM14_RS05690	1
6742	NA	NA	NA	NA	NA	STM14_RS14195	1
6743	NA	NA	NA	NA	NA	STM14_RS06960	1
6744	NA	NA	NA	NA	NA	STM14_RS05705	1
6745	NA	NA	NA	NA	NA	STM14_RS05710	1
6746	NA	NA	NA	NA	NA	STM14_RS06965	1
6747	NA	NA	NA	NA	NA	STM14_RS14190	1
6751	NA	NA	NA	ROD_RS12020	NA	NA	1
6754	NA	NA	NA	ROD_RS12025	NA	NA	1
6756	NA	NA	NA	ROD_RS08365	NA	NA	1
6757	NA	NA	NA	ROD_RS05970	NA	NA	1
6758	NA	NA	NA	ROD_RS10330	NA	NA	1
6759	NA	NA	SMDB11_RS08325	NA	NA	NA	1
6760	ECL_RS09625	NA	NA	NA	NA	NA	1
6761	NA	KPNIH1_RS22545	NA	NA	NA	NA	1
6762	NA	KPNIH1_RS03250	NA	NA	NA	NA	1
6763	ECL_RS00210	NA	NA	NA	NA	NA	1
6764	NA	NA	SMDB11_RS08525	NA	NA	NA	1
6768	ECL_RS24245	NA	NA	NA	NA	NA	1
6769	NA	KPNIH1_RS20840	NA	NA	NA	NA	1
6770	NA	NA	SMDB11_RS19500	NA	NA	NA	1
6771	NA	NA	SMDB11_RS04535	NA	NA	NA	1
6772	NA	NA	SMDB11_RS22060	NA	NA	NA	1
6773	NA	NA	SMDB11_RS04550	NA	NA	NA	1
6774	NA	NA	SMDB11_RS22075	NA	NA	NA	1
6775	NA	KPNIH1_RS26630	NA	NA	NA	NA	1
6777	NA	NA	SMDB11_RS19565	NA	NA	NA	1
6778	NA	KPNIH1_RS03235	NA	NA	NA	NA	1
6779	NA	NA	NA	ROD_RS12265	NA	NA	1
6781	NA	NA	SMDB11_RS01010	NA	NA	NA	1
6783	NA	NA	SMDB11_RS01015	NA	NA	NA	1
6784	NA	NA	SMDB11_RS01020	NA	NA	NA	1
6787	NA	NA	SMDB11_RS01025	NA	NA	NA	1
6791	ECL_RS03455	NA	NA	NA	NA	NA	1
6792	NA	NA	SMDB11_RS01295	NA	NA	NA	1
6793	NA	KPNIH1_RS15295	NA	NA	NA	NA	1
6794	NA	NA	SMDB11_RS01495	NA	NA	NA	1
6795	NA	NA	NA	NA	b3723	NA	1
6796	NA	KPNIH1_RS18370	NA	NA	NA	NA	1
6797	NA	NA	SMDB11_RS02085	NA	NA	NA	1
6798	ECL_RS16460	NA	NA	NA	NA	NA	1
6799	NA	KPNIH1_RS16665	NA	NA	NA	NA	1
6801	NA	NA	SMDB11_RS02125	NA	NA	NA	1
6802	NA	NA	SMDB11_RS11095	NA	NA	NA	1
6804	ECL_RS09555	NA	NA	NA	NA	NA	1
6805	NA	NA	SMDB11_RS02865	NA	NA	NA	1
6806	NA	KPNIH1_RS13340	NA	NA	NA	NA	1
6807	NA	NA	SMDB11_RS03070	NA	NA	NA	1
6809	NA	NA	SMDB11_RS03450	NA	NA	NA	1
6810	ECL_RS25810	NA	NA	NA	NA	NA	1
6811	NA	NA	NA	NA	NA	STM14_RS15820	1
6812	NA	NA	SMDB11_RS03550	NA	NA	NA	1
6813	ECL_RS07495	NA	NA	NA	NA	NA	1
6814	NA	KPNIH1_RS16790	NA	NA	NA	NA	1
6816	ECL_RS15150	NA	NA	NA	NA	NA	1
6817	NA	NA	SMDB11_RS03800	NA	NA	NA	1
6819	ECL_RS03525	NA	NA	NA	NA	NA	1
6820	NA	KPNIH1_RS10420	NA	NA	NA	NA	1
6821	NA	NA	SMDB11_RS03995	NA	NA	NA	1
6823	NA	NA	SMDB11_RS05315	NA	NA	NA	1
6824	NA	NA	SMDB11_RS06915	NA	NA	NA	1
6825	NA	NA	NA	NA	NA	STM14_RS02780	1
6826	NA	KPNIH1_RS26865	NA	NA	NA	NA	1
6827	NA	KPNIH1_RS21420	NA	NA	NA	NA	1
6829	NA	NA	SMDB11_RS08285	NA	NA	NA	1
6830	NA	NA	SMDB11_RS19650	NA	NA	NA	1
6831	NA	NA	SMDB11_RS08860	NA	NA	NA	1
6833	NA	NA	SMDB11_RS08985	NA	NA	NA	1
6836	ECL_RS06305	NA	NA	NA	NA	NA	1
6837	ECL_RS17730	NA	NA	NA	NA	NA	1
6838	NA	NA	SMDB11_RS10385	NA	NA	NA	1
6839	ECL_RS03385	NA	NA	NA	NA	NA	1
6840	NA	KPNIH1_RS03255	NA	NA	NA	NA	1
6841	NA	NA	SMDB11_RS10390	NA	NA	NA	1
6842	NA	NA	SMDB11_RS10430	NA	NA	NA	1
6843	NA	KPNIH1_RS12485	NA	NA	NA	NA	1
6844	ECL_RS12240	NA	NA	NA	NA	NA	1
6845	NA	NA	NA	NA	NA	STM14_RS01975	1
6846	ECL_RS07560	NA	NA	NA	NA	NA	1
6847	NA	NA	SMDB11_RS24150	NA	NA	NA	1
6848	NA	KPNIH1_RS02565	NA	NA	NA	NA	1
6849	NA	NA	SMDB11_RS12340	NA	NA	NA	1
6850	ECL_RS08850	NA	NA	NA	NA	NA	1
6851	NA	KPNIH1_RS16690	NA	NA	NA	NA	1
6853	NA	KPNIH1_RS18585	NA	NA	NA	NA	1
6855	NA	NA	SMDB11_RS12525	NA	NA	NA	1
6857	NA	NA	SMDB11_RS13000	NA	NA	NA	1
6858	ECL_RS08200	NA	NA	NA	NA	NA	1
6859	NA	NA	NA	NA	NA	STM14_RS06785	1
6861	NA	NA	SMDB11_RS13040	NA	NA	NA	1
6862	ECL_RS10390	NA	NA	NA	NA	NA	1
6863	NA	NA	SMDB11_RS13120	NA	NA	NA	1
6864	NA	KPNIH1_RS26685	NA	NA	NA	NA	1
6865	NA	NA	NA	NA	NA	STM14_RS14955	1
6866	ECL_RS17900	NA	NA	NA	NA	NA	1
6867	NA	NA	SMDB11_RS13550	NA	NA	NA	1
6868	NA	KPNIH1_RS15480	NA	NA	NA	NA	1
6872	NA	NA	SMDB11_RS15070	NA	NA	NA	1
6874	NA	NA	SMDB11_RS15280	NA	NA	NA	1
6877	ECL_RS10300	NA	NA	NA	NA	NA	1
6878	NA	KPNIH1_RS15995	NA	NA	NA	NA	1
6879	NA	NA	SMDB11_RS16580	NA	NA	NA	1
6880	NA	KPNIH1_RS09780	NA	NA	NA	NA	1
6881	NA	NA	NA	NA	b1802	NA	1
6882	NA	NA	SMDB11_RS16635	NA	NA	NA	1
6885	ECL_RS16385	NA	NA	NA	NA	NA	1
6886	NA	NA	SMDB11_RS20610	NA	NA	NA	1
6887	NA	NA	SMDB11_RS17160	NA	NA	NA	1
6888	NA	NA	SMDB11_RS17340	NA	NA	NA	1
6890	NA	NA	NA	NA	b1198	NA	1
6893	NA	NA	SMDB11_RS18050	NA	NA	NA	1
6894	NA	NA	SMDB11_RS18060	NA	NA	NA	1
6897	NA	NA	SMDB11_RS18065	NA	NA	NA	1
6898	NA	NA	SMDB11_RS18070	NA	NA	NA	1
6900	NA	NA	SMDB11_RS18075	NA	NA	NA	1
6902	NA	NA	SMDB11_RS18080	NA	NA	NA	1
6904	NA	NA	SMDB11_RS18085	NA	NA	NA	1
6906	NA	NA	SMDB11_RS18090	NA	NA	NA	1
6909	NA	NA	SMDB11_RS18095	NA	NA	NA	1
6911	NA	NA	SMDB11_RS18100	NA	NA	NA	1
6912	NA	NA	SMDB11_RS18110	NA	NA	NA	1
6915	NA	NA	SMDB11_RS18115	NA	NA	NA	1
6917	NA	NA	SMDB11_RS19355	NA	NA	NA	1
6918	NA	KPNIH1_RS02870	NA	NA	NA	NA	1
6919	NA	NA	NA	NA	NA	STM14_RS23255	1
6920	NA	KPNIH1_RS02815	NA	NA	NA	NA	1
6921	NA	NA	SMDB11_RS19395	NA	NA	NA	1
6922	NA	NA	NA	NA	NA	STM14_RS23250	1
6924	NA	NA	SMDB11_RS20240	NA	NA	NA	1
6928	NA	NA	SMDB11_RS23270	NA	NA	NA	1
6929	NA	NA	SMDB11_RS23385	NA	NA	NA	1
6930	NA	NA	NA	NA	NA	STM14_RS16700	1
6931	NA	KPNIH1_RS07060	NA	NA	NA	NA	1
6933	NA	KPNIH1_RS05320	NA	NA	NA	NA	1
6935	NA	KPNIH1_RS05290	NA	NA	NA	NA	1
6937	NA	KPNIH1_RS05285	NA	NA	NA	NA	1
6939	NA	NA	NA	NA	NA	STM14_RS06005	1
6942	ECL_RS13745	NA	NA	NA	NA	NA	1
6943	NA	KPNIH1_RS04675	NA	NA	NA	NA	1
6944	NA	NA	NA	NA	b3325	NA	1
6946	NA	KPNIH1_RS05185	NA	NA	NA	NA	1
6947	NA	KPNIH1_RS05190	NA	NA	NA	NA	1
6954	ECL_RS22135	NA	NA	NA	NA	NA	1
6955	NA	KPNIH1_RS30385	NA	NA	NA	NA	1
6956	NA	KPNIH1_RS08920	NA	NA	NA	NA	1
6957	NA	KPNIH1_RS08930	NA	NA	NA	NA	1
6958	ECL_RS22125	NA	NA	NA	NA	NA	1
6959	NA	KPNIH1_RS20730	NA	NA	NA	NA	1
6960	NA	KPNIH1_RS20630	NA	NA	NA	NA	1
6961	NA	KPNIH1_RS09020	NA	NA	NA	NA	1
6962	ECL_RS22030	NA	NA	NA	NA	NA	1
6963	NA	KPNIH1_RS33570	NA	NA	NA	NA	1
6964	NA	KPNIH1_RS33720	NA	NA	NA	NA	1
